reviews_augmented
id;отзыв;labels
ex_000109;Несоответствие заявленных в описании товара размеров, высота 26 см вместо 20 см.;"[""Несоответствие описанию""]"
ex_000110;Заказ не соответствует!!!!!!!! Ковш другого цвета!!!!!!;"[""Несоответствие описанию""]"
ex_000111;Варежки красивые, сшиты отлично, но ручки все же мерзнут. Пришлось вернуться к вязанным шерстяным((;"[""Несоответствие ожиданиям / эффекту"", ""Положительный отзыв""]"
ex_000112;Пришла одна серая кофта ,блузки и не видела- отказ....;"[""Проблема с комплектацией""]"
ex_000113;Красивая,но маленькая (;"[""Проблема с размером / посадкой""]"
ex_000114;заказываю сбор второй раз. не знаю,есть ли эффект. пока заметила,что чувство тяжести ушло.;"[""Несоответствие ожиданиям / эффекту"", ""Положительный отзыв""]"
ex_000115;Удобный. Только не до конца поняла как его правильно одевать,лежа или стоя;"[""Нейтральный / информационный отзыв""]"
ex_000116;Маломерит. Прошу не учитывать процент выкупа;"[""Проблема с размером / посадкой""]"
ex_000117;Маме нравится ,мне не очень понравился.;"[""Положительный отзыв"", ""Несоответствие ожиданиям / эффекту""]"
ex_000118;"При стирке чуть ""скатался "" рисунок";"[""Несоответствие ожиданиям / эффекту""]"
ex_000119;Маломерит...;"[""Проблема с размером / посадкой""]"
ex_000120;Бальзамчик отличный! Доставка задержалась!;"[""Положительный отзыв"", ""Проблема доставки / получения""]"
ex_000121;Сам чемодан супер!!! Но доставка 🤦🏼‍♀️ коробка в хлам …;"[""Положительный отзыв"", ""Проблема с упаковкой""]"
ex_000122;Не чем не пахнет;"[""Другая проблема""]"
ex_000123;Хорошая поилка, но мыть заколебешься;"[""Положительный отзыв"", ""Другая проблема""]"
ex_000124;Отходит через 2 недели;"[""Другая проблема""]"
ex_000125;Маломерит, перезаказываю.;"[""Проблема с размером / посадкой""]"
ex_000126;Размер в размер,вид приятный,если обрезать все торчащие ниточки,а они торчат ото всюду;"[""Низкое качество материала"", ""Положительный отзыв""]"
ex_000127;Кроссовки не порвались,но материал верха совершенно не держит форму, стали как галоши и плюсом, неприятный запах от ног!;"[""Низкое качество материала"", ""Несоответствие ожиданиям / эффекту""]"
ex_000128;Ткань приятная, но большемерит;"[""Проблема с размером / посадкой"", ""Положительный отзыв""]"
ex_000129;Маломерят. В целом неплохие.;"[""Проблема с размером / посадкой"", ""Положительный отзыв""]"
ex_000130;Шапка двойная;"[""Другая проблема""]"
ex_000131;Не подошёл размер;"[""Проблема с размером / посадкой""]"
ex_000132;Сапожки красивые, на ножке смотрятся великолепно. Но мне каблук показался высоковат... поэтому отказ.;"[""Проблема с размером / посадкой"", ""Несоответствие ожиданиям / эффекту""]"
ex_000133;Футболка узкая в плечах и широкая на животе. Качество хорошее.;"[""Проблема с размером / посадкой"", ""Положительный отзыв""]"
ex_000134;Интересно;"[""Нейтральный / информационный отзыв""]"
ex_000135;Отличная. Плотная. Но выглядит меньше чем на 8 литром , скорее на 6;"[""Несоответствие ожиданиям / эффекту"", ""Положительный отзыв""]"
ex_000136;Флешка нормальная, только снимается эта крышка, я приклеил;"[""Проблема с комплектацией"", ""Положительный отзыв""]"
ex_000137;Качество отличное, но на худеньких, 48+ придаёт возраст, жаль. Прошу не учитывать процент выкупа.;"[""Положительный отзыв"", ""Несоответствие ожиданиям / эффекту""]"
ex_000138;Неочень плохо увлажняет больше не возьму;"[""Несоответствие ожиданиям / эффекту""]"
ex_000139;Никому нельзя верить - развернула дома, одного чехла на подушку нет!;"[""Проблема с комплектацией""]"
ex_000140;Половина флакона не советую;"[""Несоответствие ожиданиям / эффекту""]"
ex_000141;От жара спасает но узковат чуток;"[""Проблема с размером / посадкой"", ""Положительный отзыв""]"
ex_000142;Хорошие текстовыделители, правда когда стираешь всё только размазывается. Приехали быстро;"[""Положительный отзыв"", ""Несоответствие ожиданиям / эффекту""]"
ex_000143;Пластиковая миска, среднего размера, но для масок само то;"[""Нейтральный / информационный отзыв""]"
ex_000144;Заказала футболку, пришло с трещиной. Пользоваться нельзя.;"[""Брак / дефект товара""]"
ex_000145;К сожалению, товар пришел поврежденный: корпус треснут, возвращаю. Возврат.;"[""Брак / дефект товара""]"
ex_000146;Честно говоря, молния сломана уже при примерке, пользоваться невозможно. Больше не закажу.;"[""Брак / дефект товара""]"
ex_000147;По итогу, после первого использования кроссовки сломалась, очень обидно. Очень жаль.;"[""Брак / дефект товара""]"
ex_000148;В моем случае, через день перестало работать, хотя пользовалась аккуратно. Для меня это минус.;"[""Брак / дефект товара""]"
ex_000149;Товар не включается вообще, проверяли несколько раз. Ожидала лучше.;"[""Брак / дефект товара""]"
ex_000150;К сожалению, кнопка западает с первого дня, нормально не работает. Настроение испорчено.;"[""Брак / дефект товара""]"
ex_000151;Честно говоря, одна часть отколота, такой товар принимать нельзя. Такое не устроило.;"[""Брак / дефект товара""]"
ex_000152;По итогу, при получении заметила скол на товаре, это явный дефект.;"[""Брак / дефект товара""]"
ex_000153;В моем случае, на поверхности глубокая царапина и вмятина, товар поврежден. Возврат.;"[""Брак / дефект товара""]"
ex_000154;У лампы сразу отвалилась деталь, похоже на брак. Больше не закажу.;"[""Брак / дефект товара""]"
ex_000155;К сожалению, внутри что-то болтается, товар неисправен. Очень жаль.;"[""Брак / дефект товара""]"
ex_000156;Честно говоря, заказала термокружку, пришло с трещиной. Пользоваться нельзя. Для меня это минус.;"[""Брак / дефект товара""]"
ex_000157;По итогу, товар пришел поврежденный: корпус треснут, возвращаю. Ожидала лучше.;"[""Брак / дефект товара""]"
ex_000158;В моем случае, молния сломана уже при примерке, пользоваться невозможно. Настроение испорчено.;"[""Брак / дефект товара""]"
ex_000159;После первого использования косметичку сломалась, очень обидно. Такое не устроило.;"[""Брак / дефект товара""]"
ex_000160;К сожалению, через день перестало работать, хотя пользовалась аккуратно.;"[""Брак / дефект товара""]"
ex_000161;Честно говоря, товар не включается вообще, проверяли несколько раз. Возврат.;"[""Брак / дефект товара""]"
ex_000162;По итогу, кнопка западает с первого дня, нормально не работает. Больше не закажу.;"[""Брак / дефект товара""]"
ex_000163;В моем случае, одна часть отколота, такой товар принимать нельзя. Очень жаль.;"[""Брак / дефект товара""]"
ex_000164;При получении заметила скол на товаре, это явный дефект. Для меня это минус.;"[""Брак / дефект товара""]"
ex_000165;К сожалению, на поверхности глубокая царапина и вмятина, товар поврежден. Ожидала лучше.;"[""Брак / дефект товара""]"
ex_000166;Честно говоря, у шторы сразу отвалилась деталь, похоже на брак. Настроение испорчено.;"[""Брак / дефект товара""]"
ex_000167;По итогу, внутри что-то болтается, товар неисправен. Такое не устроило.;"[""Брак / дефект товара""]"
ex_000168;В моем случае, заказала щетку, пришло с трещиной. Пользоваться нельзя.;"[""Брак / дефект товара""]"
ex_000169;Товар пришел поврежденный: корпус треснут, возвращаю. Возврат.;"[""Брак / дефект товара""]"
ex_000170;К сожалению, молния сломана уже при примерке, пользоваться невозможно. Больше не закажу.;"[""Брак / дефект товара""]"
ex_000171;Честно говоря, после первого использования ремешок для часов сломалась, очень обидно. Очень жаль.;"[""Брак / дефект товара""]"
ex_000172;По итогу, через день перестало работать, хотя пользовалась аккуратно. Для меня это минус.;"[""Брак / дефект товара""]"
ex_000173;В моем случае, товар не включается вообще, проверяли несколько раз. Ожидала лучше.;"[""Брак / дефект товара""]"
ex_000174;Кнопка западает с первого дня, нормально не работает. Настроение испорчено.;"[""Брак / дефект товара""]"
ex_000175;К сожалению, одна часть отколота, такой товар принимать нельзя. Такое не устроило.;"[""Брак / дефект товара""]"
ex_000176;Честно говоря, при получении заметила скол на товаре, это явный дефект.;"[""Брак / дефект товара""]"
ex_000177;По итогу, на поверхности глубокая царапина и вмятина, товар поврежден. Возврат.;"[""Брак / дефект товара""]"
ex_000178;В моем случае, у насадки сразу отвалилась деталь, похоже на брак. Больше не закажу.;"[""Брак / дефект товара""]"
ex_000179;Внутри что-то болтается, товар неисправен. Очень жаль.;"[""Брак / дефект товара""]"
ex_000180;К сожалению, заказала носки, пришло с трещиной. Пользоваться нельзя. Для меня это минус.;"[""Брак / дефект товара""]"
ex_000181;Честно говоря, товар пришел поврежденный: корпус треснут, возвращаю. Ожидала лучше.;"[""Брак / дефект товара""]"
ex_000182;По итогу, молния сломана уже при примерке, пользоваться невозможно. Настроение испорчено.;"[""Брак / дефект товара""]"
ex_000183;В моем случае, после первого использования бутылку для воды сломалась, очень обидно. Такое не устроило.;"[""Брак / дефект товара""]"
ex_000184;Через день перестало работать, хотя пользовалась аккуратно.;"[""Брак / дефект товара""]"
ex_000185;К сожалению, товар не включается вообще, проверяли несколько раз. Возврат.;"[""Брак / дефект товара""]"
ex_000186;Честно говоря, кнопка западает с первого дня, нормально не работает. Больше не закажу.;"[""Брак / дефект товара""]"
ex_000187;По итогу, одна часть отколота, такой товар принимать нельзя. Очень жаль.;"[""Брак / дефект товара""]"
ex_000188;В моем случае, при получении заметила скол на товаре, это явный дефект. Для меня это минус.;"[""Брак / дефект товара""]"
ex_000189;На поверхности глубокая царапина и вмятина, товар поврежден. Ожидала лучше.;"[""Брак / дефект товара""]"
ex_000190;К сожалению, у джинсов сразу отвалилась деталь, похоже на брак. Настроение испорчено.;"[""Брак / дефект товара""]"
ex_000191;Честно говоря, внутри что-то болтается, товар неисправен. Такое не устроило.;"[""Брак / дефект товара""]"
ex_000192;По итогу, заказала куртку, пришло с трещиной. Пользоваться нельзя.;"[""Брак / дефект товара""]"
ex_000193;В моем случае, товар пришел поврежденный: корпус треснут, возвращаю. Возврат.;"[""Брак / дефект товара""]"
ex_000194;Молния сломана уже при примерке, пользоваться невозможно. Больше не закажу.;"[""Брак / дефект товара""]"
ex_000195;К сожалению, после первого использования наушники сломалась, очень обидно. Очень жаль.;"[""Брак / дефект товара""]"
ex_000196;Честно говоря, через день перестало работать, хотя пользовалась аккуратно. Для меня это минус.;"[""Брак / дефект товара""]"
ex_000197;По итогу, товар не включается вообще, проверяли несколько раз. Ожидала лучше.;"[""Брак / дефект товара""]"
ex_000198;В моем случае, кнопка западает с первого дня, нормально не работает. Настроение испорчено.;"[""Брак / дефект товара""]"
ex_000199;Одна часть отколота, такой товар принимать нельзя. Такое не устроило.;"[""Брак / дефект товара""]"
ex_000200;К сожалению, при получении заметила скол на товаре, это явный дефект.;"[""Брак / дефект товара""]"
ex_000201;Честно говоря, на поверхности глубокая царапина и вмятина, товар поврежден. Возврат.;"[""Брак / дефект товара""]"
ex_000202;По итогу, у сковороды сразу отвалилась деталь, похоже на брак. Больше не закажу.;"[""Брак / дефект товара""]"
ex_000203;В моем случае, внутри что-то болтается, товар неисправен. Очень жаль.;"[""Брак / дефект товара""]"
ex_000204;Заказала крем, пришло с трещиной. Пользоваться нельзя. Для меня это минус.;"[""Брак / дефект товара""]"
ex_000205;К сожалению, товар пришел поврежденный: корпус треснут, возвращаю. Ожидала лучше.;"[""Брак / дефект товара""]"
ex_000206;Честно говоря, молния сломана уже при примерке, пользоваться невозможно. Настроение испорчено.;"[""Брак / дефект товара""]"
ex_000207;По итогу, после первого использования коврик сломалась, очень обидно. Такое не устроило.;"[""Брак / дефект товара""]"
ex_000208;В моем случае, через день перестало работать, хотя пользовалась аккуратно.;"[""Брак / дефект товара""]"
ex_000209;Товар не включается вообще, проверяли несколько раз. Возврат.;"[""Брак / дефект товара""]"
ex_000210;К сожалению, кнопка западает с первого дня, нормально не работает. Больше не закажу.;"[""Брак / дефект товара""]"
ex_000211;Честно говоря, одна часть отколота, такой товар принимать нельзя. Очень жаль.;"[""Брак / дефект товара""]"
ex_000212;По итогу, при получении заметила скол на товаре, это явный дефект. Для меня это минус.;"[""Брак / дефект товара""]"
ex_000213;В моем случае, на поверхности глубокая царапина и вмятина, товар поврежден. Ожидала лучше.;"[""Брак / дефект товара""]"
ex_000214;У увлажнителя сразу отвалилась деталь, похоже на брак. Настроение испорчено.;"[""Брак / дефект товара""]"
ex_000215;К сожалению, внутри что-то болтается, товар неисправен. Такое не устроило.;"[""Брак / дефект товара""]"
ex_000216;Честно говоря, заказала перчатки, пришло с трещиной. Пользоваться нельзя.;"[""Брак / дефект товара""]"
ex_000217;По итогу, товар пришел поврежденный: корпус треснут, возвращаю. Возврат.;"[""Брак / дефект товара""]"
ex_000218;В моем случае, молния сломана уже при примерке, пользоваться невозможно. Больше не закажу.;"[""Брак / дефект товара""]"
